area_type,availability,size,society,total_sqft,bath,balcony,site_location,price
Super built-up  Area,Ready To Move,3 BHK,,1475,3,2,Khadaki,96
Super built-up  Area,Ready To Move,2 BHK,NDionas,1300,2,2,Khadki,79
Plot  Area,Ready To Move,5 Bedroom,,1200,6,1,Kharadi,220
Built-up  Area,Ready To Move,3 BHK,,1453,2,2,Kondhwa,43.59
Super built-up  Area,Ready To Move,2 BHK,SNiew L,1550,2,3,Kondhwa Budruk,160
Built-up  Area,Ready To Move,3 BHK,DLhtsnd,1666,3,,Kondhwa Khurd,95
Plot  Area,Ready To Move,4 Bedroom,,1410,4,2,Koregaon Park,160
Plot  Area,18-Mar,4 Bedroom,Nileyap,4025,5,3,Kothrud,800
Super built-up  Area,Ready To Move,3 BHK,Vestas ,1845,3,3,Law College Road,91
Super built-up  Area,Ready To Move,3 BHK,Puownm ,1676,3,3,Laxmi Road,52
Super built-up  Area,20-Dec,2 BHK,PrdgeLa,1137,2,1,Lulla Nagar,63
Super built-up  Area,Ready To Move,3 BHK,GMown E,1360,2,1,Mahatma Gandhi Road,70.5
Super built-up  Area,Ready To Move,3 BHK,FoGemna,1374,2,2,Mangalwar peth,70
Built-up  Area,Ready To Move,3 Bedroom,,1700,3,2,Manik Bagh,155
Plot  Area,Ready To Move,5 Bedroom,,3227,5,0,Market yard,250
Super built-up  Area,Ready To Move,4 BHK,Cestama,2145,4,,Model colony,125
Plot  Area,Ready To Move,4 Bedroom,,2400,6,3,Mukund Nagar,600
Super built-up  Area,18-May,3 BHK,,2170,3,2,Mundhawa,151
Built-up  Area,Ready To Move,2 BHK,,1080,2,1,Nagar Road,55
Built-up  Area,Ready To Move,3 BHK,SNbay G,1790,3,3,Nana Peth,100
Super built-up  Area,Ready To Move,1 BHK,,550,1,1,Narayan Peth,17
Super built-up  Area,Ready To Move,3 BHK,,1270,2,2,Narayangaon,50.79
Built-up  Area,Ready To Move,2 BHK,Ahhtser,1033,2,2,Navi Peth,48
Built-up  Area,Ready To Move,2 Bedroom,,1000,2,1,Padmavati,80
Super built-up  Area,19-Dec,4 BHK,She 2rk,2940,6,2,Parvati Darshan,280
Super built-up  Area,Ready To Move,2 BHK,BMmesHo,1240,2,2,Pashan,52.6
Plot  Area,Ready To Move,5 Bedroom,,1650,5,1,Paud Road,450
Super built-up  Area,Ready To Move,2 BHK,Prrtht ,883,2,1,Pirangut,39
Built-up  Area,15-Jun,3 BHK,SRzonhu,1500,2,0,Prabhat Road,97
Super built-up  Area,Ready To Move,3 BHK,Asintas,1730,3,3,Pune Railway Station,139
Super built-up  Area,Ready To Move,3 BHK,,1915,3,3,Rasta Peth,80
Super built-up  Area,Ready To Move,3 BHK,BainePr,1545,3,2,Raviwar Peth,79
Super built-up  Area,19-Mar,3 BHK,,1865,4,2,Sadashiv Peth,140
Super built-up  Area,Ready To Move,2 BHK,,1150,2,2,Sahakar Nagar,40
Super built-up  Area,18-Aug,2 BHK,,1200,2,2,Salunke Vihar,49
Built-up  Area,Ready To Move,2 BHK,,963,2,2,Sasson Road,40
Plot  Area,Ready To Move,3 Bedroom,AreraRe,1200,3,1,Satara Road,120
Super built-up  Area,Ready To Move,4 BHK,,2600,4,3,Senapati Bapat Road,260
Built-up  Area,Ready To Move,4 BHK,Srsica ,1700,4,,Shaniwar Peth,108
Super built-up  Area,Ready To Move,3 BHK,Soiewre,1682,3,1,Shivaji Nagar,120
Built-up  Area,Ready To Move,3 BHK,Rarthne,1371,2,2,Shukrawar Peth,65
Super built-up  Area,21-Mar,2 BHK,,901,2,1,Sinhagad Road,49.5
Plot  Area,Ready To Move,7 Bedroom,,600,7,0,Somwar Peth,73
Super built-up  Area,Ready To Move,3 BHK,SJarkte,1730,3,1,Swargate,120
Plot  Area,Ready To Move,4 Bedroom,,1200,4,0,Tilak Road,125
Super built-up  Area,Ready To Move,3 BHK,SJlynro,1500,3,3,Uruli Devachi,102
Super built-up  Area,Ready To Move,4 BHK,Maana E,3785,6,,Vadgaon Budruk,280
Built-up  Area,Ready To Move,4 BHK,,3500,4,2,Wadgaon Sheri,245
Carpet  Area,Ready To Move,2 BHK,Glnetch,1203,2,1,Viman Nagar,59.86
Super built-up  Area,Ready To Move,2 BHK,,1357,2,2,Vishrant Wadi,54
Super built-up  Area,Ready To Move,3 BHK,Suensda,1600,3,2,Wagholi,76
Built-up  Area,Ready To Move,1 BHK,KHatsFl,350,1,1,Wakadewadi,13.5
Super built-up  Area,Ready To Move,3 BHK,MKllei ,1665,3,1,Wanowrie,53
Plot  Area,Ready To Move,3 Bedroom,,1400,3,3,Warje,200
Super built-up  Area,Ready To Move,1 BHK,,835,1,1,Yerawada,46.95
Plot  Area,Ready To Move,2 Bedroom,,815,3,2,Alandi Road,160
Super built-up  Area,Ready To Move,3 BHK,NDionas,1444,2,1,Ambegaon Budruk,80
Super built-up  Area,Ready To Move,2 BHK,,1277,2,2,Anandnagar,55
Super built-up  Area,Ready To Move,3 BHK,Soiewre,1521,3,1,Aundh,94.71
Super built-up  Area,Ready To Move,2 BHK,,1134,2,1,Aundh Road,40
Super built-up  Area,Ready To Move,2 BHK,,995,2,1,Balaji Nagar,34.82
Super built-up  Area,Ready To Move,3 BHK,Brica E,2760,5,2,Baner,157
Built-up  Area,Ready To Move,2 BHK,PueraRi,1325,1,1,Baner road,92
Built-up  Area,Ready To Move,6 Bedroom,,4000,6,,Bhandarkar Road,150
Built-up  Area,Ready To Move,3 BHK,,1525,3,2,Bhavani Peth,90
Super built-up  Area,18-Dec,3 BHK,,1320,2,2,Bibvewadi,73
Super built-up  Area,Ready To Move,1 BHK,SrnesSr,650,1,1,Bopodi,23
Built-up  Area,Ready To Move,3 BHK,,1858,2,1,Budhwar Peth,167
Super built-up  Area,21-Aug,2 BHK,,1150,2,1,Bund Garden Road,38
Super built-up  Area,Ready To Move,2 BHK,MJtroty,769,2,1,Camp,40
Super built-up  Area,Ready To Move,3 BHK,Prarkun,1571,3,2,Chandan Nagar,105
Super built-up  Area,Ready To Move,3 BHK,Maity W,1445,3,1,Dapodi,86.56
Super built-up  Area,Ready To Move,3 BHK,Saageat,1590,2,2,Deccan Gymkhana,135
Super built-up  Area,Ready To Move,2 BHK,Niway G,902,2,2,Dehu Road,49
Plot  Area,18-Mar,3 Bedroom,,2238,3,1,Dhankawadi,140
Built-up  Area,18-Dec,2 BHK,,1090,2,1,Dhayari Phata,31.49
Built-up  Area,Ready To Move,3 BHK,NCowsar,1712,3,3,Dhole Patil Road,82
Built-up  Area,Ready To Move,2 BHK,,1088,2,1,Erandwane,68
Super built-up  Area,Ready To Move,3 BHK,,1575,3,3,Fatima Nagar,63.1
Plot  Area,Ready To Move,6 Bedroom,,2150,6,3,Fergusson College Road,205
Super built-up  Area,Ready To Move,3 BHK,Roima A,1920,3,2,Ganesh Peth,150
Plot  Area,Ready To Move,2 Bedroom,,1000,2,0,Ganeshkhind,57
Super built-up  Area,18-Oct,2 BHK,,1100,2,2,Ghorpade Peth,56.1
Super built-up  Area,Ready To Move,2 BHK,Daives ,1089,2,2,Ghorpadi,45
Built-up  Area,Ready To Move,2 BHK,Maows M,1106,2,1,Gokhale Nagar,43.09
Super built-up  Area,18-Dec,2 BHK,,927,2,2,Gultekdi,37
Super built-up  Area,Ready To Move,2 BHK,PuandHi,1339,2,2,Guruwar peth,58
Built-up  Area,21-Dec,1 BHK,Bhe 2ko,923,1,1,Hadapsar,45.69
Plot  Area,18-Aug,3 Bedroom,,2900,3,2,Hadapsar Industrial Estate,285
Super built-up  Area,Ready To Move,2 BHK,RothaVa,1175,2,2,Hingne Khurd,75
Built-up  Area,Ready To Move,2 BHK,Soowsa ,975,2,1,Jangali Maharaj Road,55
Super built-up  Area,Ready To Move,3 BHK,Kacesh ,2400,4,1,Kalyani Nagar,180
Super built-up  Area,Ready To Move,3 BHK,Prldsri,1330,3,2,Karve Nagar,72
Super built-up  Area,20-Dec,2 BHK,Bhe 2ko,1183,2,1,Karve Road,59.74
Super built-up  Area,Ready To Move,3 BHK,,1758,3,2,Kasba Peth,133
Plot  Area,Ready To Move,3 Bedroom,,1200,3,2,Katraj,265
Super built-up  Area,19-Dec,3 BHK,Magiaya,1255,2,1,Khadaki,77.68
Plot  Area,Ready To Move,3 Bedroom,,600,4,2,Khadki,110
Built-up  Area,Ready To Move,2 BHK,SantsAp,1100,2,2,Kharadi,50
Super built-up  Area,18-Dec,2 BHK,Vaharvi,1170,2,2,Kondhwa,46.8
Built-up  Area,Ready To Move,5 Bedroom,,2400,5,2,Kondhwa Budruk,120
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1530,3,3,Kondhwa Khurd,51.77
Built-up  Area,17-Dec,2 BHK,Mahosya,1420,2,2,Koregaon Park,107
Plot  Area,Ready To Move,4 Bedroom,,1200,4,2,Kothrud,300
Plot  Area,Ready To Move,6 Bedroom,,1045,6,3,Law College Road,160
Super built-up  Area,19-Jan,3 BHK,PrityFa,1591,3,1,Laxmi Road,115
Super built-up  Area,Ready To Move,3 BHK,Eladero,1680,3,2,Lulla Nagar,120
Plot  Area,Ready To Move,2 Bedroom,,675,3,1,Mahatma Gandhi Road,52
Super built-up  Area,19-Dec,2 BHK,Caycend,1055,2,1,Mangalwar peth,57.63
Super built-up  Area,Ready To Move,3 BHK,Sonet G,1918,3,2,Manik Bagh,129
Super built-up  Area,18-Jan,2 BHK,Kelia R,1280,2,1,Market yard,76
Super built-up  Area,Ready To Move,3 BHK,DSdhiSa,1560,3,3,Model colony,66
Super built-up  Area,Ready To Move,2 BHK,Usquaya,1145,2,2,Mukund Nagar,49.5
Super built-up  Area,Ready To Move,3 BHK,Sodgere,2106,3,2,Mundhawa,126
Super built-up  Area,Ready To Move,3 BHK,,1801,3,2,Nagar Road,139
Plot  Area,Ready To Move,5 Bedroom,,1200,5,3,Nana Peth,120
Super built-up  Area,Ready To Move,2 BHK,PhestOn,1718,3,2,Narayan Peth,288
Super built-up  Area,20-Jun,3 BHK,Somns T,1306,3,2,Narayangaon,54.65
Super built-up  Area,19-Jun,2 BHK,Raard B,1320,2,1,Navi Peth,92
Built-up  Area,Ready To Move,3 BHK,,1350,2,2,Padmavati,65
Built-up  Area,Ready To Move,4 BHK,,2990,4,,Parvati Darshan,324
Built-up  Area,Ready To Move,4 BHK,AHavenc,3800,5,3,Pashan,300
Super built-up  Area,Ready To Move,3 BHK,DSnjh S,1344,2,1,Paud Road,42
Super built-up  Area,Ready To Move,3 BHK,,1893,3,2,Pirangut,100
Super built-up  Area,Ready To Move,3 BHK,,1107,2,1,Prabhat Road,43
Plot  Area,Ready To Move,9 Bedroom,,1200,10,,Pune Railway Station,180
Super built-up  Area,Ready To Move,2 BHK,RothaVa,1190,2,1,Rasta Peth,75
Built-up  Area,Ready To Move,2 BHK,Pranthi,1000,2,1,Raviwar Peth,35
Plot  Area,Ready To Move,2 Bedroom,Keersto,2400,2,1,Sadashiv Peth,160
Super built-up  Area,Ready To Move,2 BHK,Mania G,1000,2,1,Sahakar Nagar,48.5
Super built-up  Area,Ready To Move,3 BHK,Tahtsla,2113,3,2,Salunke Vihar,155
Built-up  Area,Ready To Move,2 BHK,,1100,2,1,Sasson Road,46
Plot  Area,Ready To Move,5 Bedroom,,1200,4,1,Satara Road,160
Super built-up  Area,Ready To Move,4 BHK,Zonce E,1884,4,2,Senapati Bapat Road,120
Super built-up  Area,Ready To Move,2 BHK,YCnce R,1110,2,1,Shaniwar Peth,40
Super built-up  Area,Ready To Move,2 BHK,Srrnasa,1027,2,2,Shivaji Nagar,43
Super built-up  Area,18-May,3 BHK,,1250,3,2,Shukrawar Peth,40
Built-up  Area,Ready To Move,3 BHK,,1470,3,0,Sinhagad Road,62
Built-up  Area,18-May,2 BHK,,1150,2,1,Somwar Peth,75
Plot  Area,Ready To Move,3 Bedroom,JRichee,1200,3,2,Swargate,165
Super built-up  Area,18-Aug,1 BHK,Sanzaat,703,1,1,Tilak Road,52
Super built-up  Area,Ready To Move,3 BHK,,1400,2,2,Uruli Devachi,62
Super built-up  Area,Ready To Move,2 BHK,SRageri,1195,2,2,Vadgaon Budruk,51
Super built-up  Area,Ready To Move,2 BHK,Veodsar,1302,2,1,Wadgaon Sheri,69.1
Super built-up  Area,19-Aug,3 BHK,Pruthg ,1583,3,1,Viman Nagar,74.4
Super built-up  Area,Ready To Move,3 BHK,BMmesHo,1488,2,3,Vishrant Wadi,60
Plot  Area,Ready To Move,4 Bedroom,,600,5,2,Wagholi,85
Super built-up  Area,18-Aug,3 BHK,DSOakil,1385,2,2,Wakadewadi,34.63
Super built-up  Area,Ready To Move,4 BHK,,3262,4,2,Wanowrie,260
Built-up  Area,18-Jan,3 BHK,Prarkun,1600,3,2,Warje,104
Super built-up  Area,Ready To Move,2 BHK,FlsicFl,1150,2,1,Yerawada,90
Plot  Area,Ready To Move,9 Bedroom,,4500,9,,Alandi Road,166
Super built-up  Area,Ready To Move,2 BHK,,1263,2,1,Ambegaon Budruk,78
Plot  Area,Ready To Move,7 Bedroom,,1200,8,2,Anandnagar,110
Super built-up  Area,20-May,2 BHK,Soena A,1299,2,2,Aundh,85
Super built-up  Area,Ready To Move,2 BHK,,1330,2,1,Aundh Road,78
Super built-up  Area,18-Apr,3 BHK,Sabixtt,1282,2,2,Balaji Nagar,52.43
Built-up  Area,Ready To Move,3 BHK,,1853,3,2,Baner,82
Super built-up  Area,Ready To Move,2 BHK,ICoolon,861,2,1,Baner road,35
Built-up  Area,Ready To Move,3 BHK,SNity S,1600,3,2,Bhandarkar Road,95
Built-up  Area,Ready To Move,2 BHK,,1256,2,1,Bhavani Peth,62.8
Super built-up  Area,Ready To Move,3 BHK,Naods W,1390,2,2,Bibvewadi,80
Super built-up  Area,Ready To Move,3 BHK,Raeusiy,1550,2,,Bopodi,90
Plot  Area,Ready To Move,11 Bedroom,,1200,6,3,Budhwar Peth,150
Built-up  Area,Ready To Move,2 BHK,,919,2,1,Bund Garden Road,49
Plot  Area,18-May,3 Bedroom,,1625,3,0,Camp,80
Super built-up  Area,Ready To Move,2 BHK,Puide P,1195,2,2,Chandan Nagar,44
Super built-up  Area,Ready To Move,6 BHK,,2400,4,1,Dapodi,600
Super built-up  Area,Ready To Move,2 BHK,Jaers S,1159,2,1,Deccan Gymkhana,60
Super built-up  Area,20-Jun,3 BHK,Somns T,1386,3,1,Dehu Road,57.46
Super built-up  Area,Ready To Move,2 BHK,Prncyrn,1197,2,1,Dhankawadi,79
Super built-up  Area,18-Dec,4 BHK,Jaades ,2690,4,3,Dhayari Phata,191
Super built-up  Area,Ready To Move,4 Bedroom,Prllasw,3293 - 5314,,,Dhole Patil Road,226
Super built-up  Area,18-May,3 BHK,SSestth,1295,2,1,Erandwane,50.28
Built-up  Area,18-Jul,3 BHK,,1310,2,1,Fatima Nagar,37.83
Super built-up  Area,21-Dec,2 BHK,Preaunt,1132,2,1,Fergusson College Road,79.28
Built-up  Area,Ready To Move,3 BHK,Sinde G,2350,3,2,Ganesh Peth,400
Plot  Area,Ready To Move,4 Bedroom,,2400,4,,Ganeshkhind,500
Super built-up  Area,19-Dec,3 BHK,Raard B,1645,3,2,Ghorpade Peth,135
Super built-up  Area,18-Nov,2 BHK,,1200,2,1,Ghorpadi,45.84
Plot  Area,Ready To Move,4 Bedroom,,3000,4,0,Gokhale Nagar,330
Super built-up  Area,Ready To Move,3 BHK,Prionad,1937,3,2,Gultekdi,140
Super built-up  Area,Ready To Move,2 BHK,Vayali ,1015,2,2,Guruwar peth,33.5
Super built-up  Area,Ready To Move,2 BHK,,1080,2,2,Hadapsar,39
Super built-up  Area,Ready To Move,3 BHK,Prone M,1350,2,2,Hadapsar Industrial Estate,80.99
Super built-up  Area,18-Aug,3 BHK,DSestSt,1149,2,2,Hingne Khurd,29
Super built-up  Area,Ready To Move,2 BHK,,1185,2,2,Jangali Maharaj Road,59
Super built-up  Area,Ready To Move,3 BHK,,1720,3,1,Kalyani Nagar,135
Super built-up  Area,Ready To Move,3 BHK,,2080,3,3,Karve Nagar,175
Plot  Area,Ready To Move,3 Bedroom,Hentye ,1500,3,1,Karve Road,87
Super built-up  Area,Ready To Move,3 BHK,PuziaVe,1566,3,2,Kasba Peth,97
Super built-up  Area,Ready To Move,3 BHK,PhestOn,2386,3,,Katraj,334
Plot  Area,Ready To Move,4 Bedroom,,1500,4,0,Khadaki,110
Super built-up  Area,Ready To Move,2 BHK,LVniaar,1290,2,1,Khadki,49.02
Built-up  Area,20-Dec,3 BHK,,1531,3,2,Kharadi,72
Super built-up  Area,Ready To Move,3 BHK,ETens G,1839,3,3,Kondhwa,165
Plot  Area,Ready To Move,4 Bedroom,,4200,4,1,Kondhwa Budruk,760
Super built-up  Area,18-May,3 BHK,Sryalan,1400,2,2,Kondhwa Khurd,40.43
Super built-up  Area,Ready To Move,2 BHK,Itelaa ,550,1,1,Koregaon Park,15
Super built-up  Area,Ready To Move,2 BHK,SSthamh,1140,2,2,Kothrud,39
Super built-up  Area,21-Jun,3 BHK,Coowsri,1210 - 1477,3,0,Law College Road,57.76
Built-up  Area,Ready To Move,4 Bedroom,,2000,4,0,Laxmi Road,100
Built-up  Area,Ready To Move,2 BHK,VaasaPr,1100,2,1,Lulla Nagar,46
Built-up  Area,Ready To Move,2 BHK,Mancyhi,1200,2,2,Mahatma Gandhi Road,55
Super built-up  Area,18-Apr,3 BHK,,1618,3,1,Mangalwar peth,68
Super built-up  Area,18-Oct,4 BHK,Prtates,2830,5,2,Manik Bagh,160
Super built-up  Area,Ready To Move,3 BHK,Omy 2es,1315,2,2,Market yard,74
Super built-up  Area,Ready To Move,2 BHK,ViensRK,1141,2,1,Model colony,42.75
Super built-up  Area,Ready To Move,2 BHK,Srestve,1080,2,2,Mukund Nagar,55
Super built-up  Area,Ready To Move,2 BHK,Flretes,1200,2,2,Mundhawa,60
Super built-up  Area,Ready To Move,2 BHK,DSingSt,1111,2,2,Nagar Road,41.88
Super built-up  Area,Ready To Move,2 BHK,,1022,2,1,Nana Peth,45.9
Super built-up  Area,Ready To Move,2 BHK,SNity S,1275,2,2,Narayan Peth,65
Super built-up  Area,Ready To Move,2 BHK,,900,2,1,Narayangaon,70
Super built-up  Area,Ready To Move,2 BHK,,1224,2,3,Navi Peth,39.2
Super built-up  Area,Ready To Move,2 BHK,Sancy L,1135,2,3,Padmavati,43
Super built-up  Area,Ready To Move,2 BHK,,1050,2,2,Parvati Darshan,52.1
Super built-up  Area,Ready To Move,3 BHK,Srier P,1535,3,2,Pashan,86
Super built-up  Area,17-Nov,2 BHK,PuonsSe,1392,2,1,Paud Road,130
Super built-up  Area,Ready To Move,2 BHK,Kritel ,1050,2,2,Pirangut,72
Super built-up  Area,19-Jun,3 BHK,Sosisic,1513,3,1,Prabhat Road,103
Super built-up  Area,Ready To Move,3 BHK,Sooutnu,1621,3,3,Pune Railway Station,72
Super built-up  Area,Ready To Move,2 BHK,Ceise P,892,2,1,Rasta Peth,39
Super built-up  Area,Ready To Move,2 BHK,SSthamh,1205,2,1,Raviwar Peth,40
Super built-up  Area,18-Dec,3 BHK,Magiaya,1355,3,2,Sadashiv Peth,83.87
Plot  Area,Ready To Move,5 Bedroom,,1250,5,,Sahakar Nagar,300
Plot  Area,Ready To Move,7 Bedroom,,1650,9,,Salunke Vihar,345
Super built-up  Area,Ready To Move,4 BHK,,1200,6,3,Sasson Road,70
Super built-up  Area,Ready To Move,2 BHK,Suurtni,1400,2,2,Satara Road,168
Super built-up  Area,18-Nov,2 BHK,VBn 2lm,726,2,1,Senapati Bapat Road,35
Plot  Area,Ready To Move,3 Bedroom,CoiewSy,1500,3,2,Shaniwar Peth,149
Super built-up  Area,Ready To Move,4 BHK,,3895,4,2,Shivaji Nagar,405
Super built-up  Area,18-Dec,2 BHK,,1079,2,2,Shukrawar Peth,41
Super built-up  Area,Ready To Move,2 BHK,Visic C,1170,2,2,Sinhagad Road,46
Super built-up  Area,Ready To Move,2 BHK,Saaveas,1104,2,2,Somwar Peth,39
Super built-up  Area,Ready To Move,2 BHK,Wiowsri,950,2,1,Swargate,45
Built-up  Area,Ready To Move,4 Bedroom,Prageta,4818,4,3,Tilak Road,390
Built-up  Area,Ready To Move,3 BHK,Kiagar ,1650,2,1,Uruli Devachi,52
Super built-up  Area,21-May,3 BHK,Sourtal,1559,3,2,Vadgaon Budruk,127
Built-up  Area,Ready To Move,2 BHK,Nastadr,1100,2,1,Wadgaon Sheri,38
Super built-up  Area,Ready To Move,3 BHK,GathiVa,1750,3,3,Viman Nagar,150
Super built-up  Area,18-Jul,2 BHK,ViistLa,1215,2,1,Vishrant Wadi,45.5
Super built-up  Area,21-Feb,3 BHK,Sodgere,1868,3,1,Wagholi,135
Built-up  Area,18-Dec,2 BHK,,1130,2,1,Wakadewadi,32.63
Super built-up  Area,Ready To Move,3 BHK,JRrnauv,1570,3,3,Wanowrie,64.5
Super built-up  Area,Ready To Move,3 BHK,,1691,3,1,Warje,98
Built-up  Area,Ready To Move,5 Bedroom,,4355,3,1,Yerawada,350
Super built-up  Area,17-Oct,2 BHK,ArowsMe,1225,2,2,Alandi Road,55
Super built-up  Area,Ready To Move,3 BHK,,1690,3,2,Ambegaon Budruk,112
Super built-up  Area,Ready To Move,2 BHK,,1418,2,2,Anandnagar,103
Super built-up  Area,Ready To Move,4 BHK,Radenta,1896,3,1,Aundh,125
Super built-up  Area,17-Sep,1 BHK,Skacak ,605,1,1,Aundh Road,40
Plot  Area,Ready To Move,5 Bedroom,,800,5,2,Balaji Nagar,95
Super built-up  Area,Ready To Move,2 BHK,Riodsri,900,2,2,Baner,32.5
Plot  Area,Ready To Move,1 Bedroom,,750,2,0,Baner road,50
Plot  Area,Ready To Move,3 Bedroom,,780,3,1,Bhandarkar Road,62
Super built-up  Area,Ready To Move,2 BHK,,908,2,1,Bhavani Peth,26
Built-up  Area,18-May,4 Bedroom,Cetattu,3369 - 3464,6,0,Bibvewadi,143
Super built-up  Area,Ready To Move,4 BHK,Soitya ,3216,4,1,Bopodi,226
Plot  Area,Ready To Move,5 Bedroom,,2400,4,1,Budhwar Peth,225
Built-up  Area,Ready To Move,2 BHK,,1400,2,2,Bund Garden Road,68
Super built-up  Area,Ready To Move,2 BHK,Srrnasa,1092,2,2,Camp,44
Super built-up  Area,Ready To Move,2 BHK,RatosAr,1255,2,2,Chandan Nagar,74
Built-up  Area,Ready To Move,3 BHK,GMown E,1500,2,1,Dapodi,100
Super built-up  Area,18-Feb,2 BHK,Bhmesy ,1296,2,2,Deccan Gymkhana,72
Super built-up  Area,Ready To Move,2 BHK,,925,2,3,Dehu Road,38
Built-up  Area,Ready To Move,2 BHK,Mahla T,1023,2,2,Dhankawadi,42
Built-up  Area,Ready To Move,2 BHK,,600,3,2,Dhayari Phata,75
Super built-up  Area,18-May,2 BHK,SLityee,1020,2,1,Dhole Patil Road,44.5
Super built-up  Area,17-Jul,3 BHK,Sainei ,1530,3,2,Erandwane,77
Super built-up  Area,Ready To Move,3 BHK,,1650,3,2,Fatima Nagar,71
Built-up  Area,Ready To Move,3 BHK,Dhise P,1605,2,3,Fergusson College Road,85
Super built-up  Area,Ready To Move,2 BHK,,1925,2,1,Ganesh Peth,50
Super built-up  Area,Ready To Move,2 BHK,,1190,2,2,Ganeshkhind,50.66
Super built-up  Area,Ready To Move,3 BHK,,1374,3,2,Ghorpade Peth,68
Built-up  Area,Ready To Move,2 BHK,SNpalaj,1140,2,2,Ghorpadi,65
Super built-up  Area,Ready To Move,3 BHK,Soionar,1725,3,2,Gokhale Nagar,130
Super built-up  Area,Ready To Move,3 BHK,Prityel,1075,2,1,Gultekdi,50
Super built-up  Area,Ready To Move,3 BHK,Sonue A,1574,3,1,Guruwar peth,93.34
Built-up  Area,Ready To Move,1 BHK,,965,1,1,Hadapsar,32
Super built-up  Area,Ready To Move,3 BHK,Valdsic,1550,3,2,Hadapsar Industrial Estate,83
Super built-up  Area,Ready To Move,2 BHK,Ajomaa ,1205,2,2,Hingne Khurd,60
Super built-up  Area,Ready To Move,3 BHK,Prrtht ,1082,2,1,Jangali Maharaj Road,55
Super built-up  Area,Ready To Move,3 BHK,Ayaya A,1215,2,2,Kalyani Nagar,52.85
Super built-up  Area,Ready To Move,4 BHK,Prersis,2483,5,2,Karve Nagar,230
Plot  Area,18-Jul,2 Bedroom,,1200,3,1,Karve Road,46.14
Super built-up  Area,Ready To Move,1 BHK,,1500,1,1,Kasba Peth,19.5
Plot  Area,18-May,4 Bedroom,,2360,4,2,Katraj,600
Super built-up  Area,Ready To Move,4 BHK,AWharde,3198,4,,Khadaki,250
Super built-up  Area,Ready To Move,3 BHK,JRrnauv,1452,3,3,Khadki,60.98
Super built-up  Area,18-Apr,3 BHK,MJtroty,1329,2,2,Kharadi,41
Super built-up  Area,Ready To Move,2 BHK,,1125,2,1,Kondhwa,44
Plot  Area,Ready To Move,2 Bedroom,,1200,2,0,Kondhwa Budruk,70
Built-up  Area,Ready To Move,3 BHK,,1350,3,3,Kondhwa Khurd,39.97
Super built-up  Area,Ready To Move,3 BHK,Niiewem,1125 - 1500,3,0,Koregaon Park,51.19
Super built-up  Area,19-Oct,3 BHK,SNontle,2600,3,2,Kothrud,195
Plot  Area,Ready To Move,2 Bedroom,,1200,2,1,Law College Road,160
Built-up  Area,18-Dec,3 BHK,Sryalan,1220,3,1,Laxmi Road,35.23
Super built-up  Area,Ready To Move,2 BHK,Kencyes,1255,2,1,Lulla Nagar,80
Super built-up  Area,Ready To Move,3 BHK,ETens G,1904,3,3,Mahatma Gandhi Road,155
Super built-up  Area,Ready To Move,2 BHK,,1329,2,2,Mangalwar peth,70
Plot  Area,Ready To Move,2 Bedroom,,1200,2,1,Manik Bagh,60
Super built-up  Area,Ready To Move,3 BHK,IBaveen,2135,3,2,Market yard,160
Super built-up  Area,Ready To Move,3 BHK,,2770,4,3,Model colony,315
Built-up  Area,19-Dec,1 BHK,,813,1,1,Mukund Nagar,39
Plot  Area,Ready To Move,4 Bedroom,,3884,4,3,Mundhawa,240
Plot  Area,Ready To Move,3 Bedroom,,3876,3,1,Nagar Road,300
Super built-up  Area,Ready To Move,2 BHK,PrncyRe,800,2,2,Nana Peth,30
Plot  Area,Ready To Move,4 Bedroom,,4750,2,1,Narayan Peth,120
Super built-up  Area,Ready To Move,3 BHK,Ocock R,1500,3,3,Narayangaon,70
Super built-up  Area,Ready To Move,3 BHK,SNity S,1880,3,2,Navi Peth,95
Super built-up  Area,Ready To Move,3 BHK,Pa II E,1440,2,2,Padmavati,55
Super built-up  Area,Ready To Move,3 BHK,DLhtsnd,1575,3,,Parvati Darshan,90
Super built-up  Area,Ready To Move,3 BHK,,1630,2,2,Pashan,97.78
Super built-up  Area,Ready To Move,3 BHK,,1180,3,1,Paud Road,55
Built-up  Area,Ready To Move,2 BHK,,1090,2,1,Pirangut,36
Super built-up  Area,Ready To Move,2 BHK,,1020,2,2,Prabhat Road,48.45
Built-up  Area,Ready To Move,4 BHK,,2425,4,3,Pune Railway Station,173
Super built-up  Area,18-Mar,2 BHK,Hirio L,1097,2,1,Rasta Peth,33.82
Super built-up  Area,Ready To Move,2 BHK,Sithand,1070,2,1,Raviwar Peth,50
Super built-up  Area,Ready To Move,2 BHK,Mania G,1000,2,1,Sadashiv Peth,58
Plot  Area,Ready To Move,8 Bedroom,,1120,8,,Sahakar Nagar,150
Super built-up  Area,18-Apr,2 BHK,,1150,2,1,Salunke Vihar,56
Built-up  Area,Ready To Move,3 BHK,Clint E,1900,4,2,Sasson Road,145
Super built-up  Area,Ready To Move,2 BHK,,1141,2,2,Satara Road,49
Built-up  Area,Ready To Move,2 BHK,DLhtsen,937,2,1,Senapati Bapat Road,44
Built-up  Area,Ready To Move,2 BHK,Blisera,1075,2,1,Shaniwar Peth,60
